iso_code,Country,Population,2020_population,area,density_sq_km,growth,world_%,rank,,,,
NER,Niger,25373254.00,"24,206,644","1,267,000 sq_km",20/sq_km,3.82,0.32%,56,,,,0.04
TWN,Taiwan,23865135.00,"23,816,775","36,193 sq_km",659/sq_km,0.16,0.30%,57,,,,0.00
LKA,Sri Lanka,21519376.00,"21,413,249","65,610 sq_km",328/sq_km,0.39,0.27%,58,,,,0.00
BFA,Burkina Faso,21652607.00,"20,903,273","272,967 sq_km",79/sq_km,2.84,0.27%,59,,,,0.03
MLI,Mali,21013825.00,"20,250,833","1,240,192 sq_km",17/sq_km,2.99,0.26%,60,,,,0.03
MWI,Malawi,19783135.00,"19,129,952","118,484 sq_km",166/sq_km,2.71,0.25%,61,,,,0.03
CHL,Chile,19240254.00,"19,116,201","756,102 sq_km",25/sq_km,0.5,0.24%,62,,,,0.01
ROU,Romania,19098735.00,"19,237,691","238,391 sq_km",80/sq_km,-0.57,0.24%,63,,,,-0.01
KAZ,Kazakhstan,19051798.00,"18,776,707","2,724,900 sq_km",7/sq_km,1.16,0.24%,64,,,,0.01
ZMB,Zambia,19061356.00,"18,383,955","752,612 sq_km",25/sq_km,2.92,0.24%,65,,,,0.03
SYR,Syria,18439906.00,"17,500,658","185,180 sq_km",99/sq_km,4.43,0.23%,66,,,,0.04
GTM,Guatemala,18336977.00,"17,915,568","108,889 sq_km",168/sq_km,1.87,0.23%,67,,,,0.02
ECU,Ecuador,17952857.00,"17,643,054","276,841 sq_km",65/sq_km,1.39,0.23%,68,,,,0.01
SEN,Senegal,17314367.00,"16,743,927","196,722 sq_km",87/sq_km,2.7,0.22%,69,,,,0.03
NLD,Netherlands,17182938.00,"17,134,872","41,850 sq_km",410/sq_km,0.22,0.22%,70,,,,0.00
KHM,Cambodia,17005662.00,"16,718,965","181,035 sq_km",94/sq_km,1.36,0.22%,71,,,,0.01
TCD,Chad,17042986.00,"16,425,864","1,284,000 sq_km",13/sq_km,2.98,0.21%,72,,,,0.03
SOM,Somalia,16481296.00,"15,893,222","637,657 sq_km",26/sq_km,2.93,0.21%,73,,,,0.03
ZWE,Zimbabwe,15153210.00,"14,862,924","390,757 sq_km",39/sq_km,1.54,0.19%,74,,,,0.02
GIN,Guinea,13591525.00,"13,132,795","245,857 sq_km",55/sq_km,2.78,0.17%,75,,,,0.03
RWA,Rwanda,13360573.00,"12,952,218","26,338 sq_km",504/sq_km,2.5,0.17%,76,,,,0.03
