iso_code,Country,Population,2020_population,area,density_sq_km,growth,world_%,rank,Continent,,,
LKA,El Salvador,6526809,"6,486,205","21,041 sq_km",310/sq_km,0.5,0.08%,112,North America,,,0.01
BFA,Equatorial Guinea,1462123,"1,402,985","28,051 sq_km",52/sq_km,3.34,0.02%,153,Africa,,,0.03
MLI,Eritrea,3615795,"3,546,421","117,600 sq_km",31/sq_km,1.55,0.05%,133,Africa,,,0.02
MWI,Estonia,1324803,"1,326,535","45,227 sq_km",29/sq_km,-0.1,0.02%,156,Europe,,,0
CHL,Ethiopia,118636016,"114,963,588","1,104,300 sq_km",107/sq_km,2.53,1.50%,12,Africa,,,0.03
ROU,Falkland Islands,3533,"3,480","12,173 sq_km",0/sq_km,1.52,0.00%,229,,,,0.02
KAZ,Faroe Islands,49049,"48,863","1,393 sq_km",35/sq_km,0.38,0.00%,211,,,,0
ZMB,Fiji,904530,"896,445","18,272 sq_km",49/sq_km,0.72,0.01%,161,Oceania,,,0.01
SYR,Finland,5550462,"5,540,720","338,424 sq_km",16/sq_km,0.14,0.07%,117,Europe,,,0
GTM,France,65467827,"65,273,511","551,695 sq_km",119/sq_km,0.23,0.83%,22,Europe,,,0
ECU,French Polynesia,282912,"280,908","4,167 sq_km",68/sq_km,0.58,0.00%,185,,,,0.01
SEN,Gabon,2292867,"2,225,734","267,668 sq_km",9/sq_km,2.39,0.03%,146,Africa,,,0.02
NLD,Gambia,2505285,"2,416,668","10,689 sq_km",233/sq_km,2.91,0.03%,144,Africa,,,0.03
KHM,Georgia,3977186,"3,989,167","69,700 sq_km",57/sq_km,-0.24,0.05%,132,Europe,,,0
TCD,Germany,83933810,"83,783,942","357,114 sq_km",235/sq_km,0.14,1.07%,19,Europe,,,0
SOM,Ghana,31904357,"31,072,940","238,533 sq_km",133/sq_km,2.12,0.40%,47,Africa,,,0.02
ZWE,Gibraltar,33698,"33,691",6 sq_km,"5,616/sq_km",0.02,0.00%,218,Africa,,,0
GIN,Greece,10357371,"10,423,054","131,990 sq_km",79/sq_km,-0.5,0.13%,87,Europe,,,-0.01
